lote_num,tiempo_inicio,tiempo_ciclo,tiempo_total_fab,defectos_espesor_irregular,defectos_burbujas,defectos_rebabas_mal_cortadas,defectos_deformaciones,defectos_rosca_no_funcional,defectos_roturas,defectos_volumen_incorrecto,defectos_espesor_incorrecto,defectos_totales_lote,fallos_acum_extrusora,fallos_acum_molde,fallos_acum_limpieza,fallos_acum_cuchilla,pct_petr,temp_fundido,uniformidad_calentamiento,tasa_enfriamiento,temp_ambiente
52,1660.9351415914632,34.724132105708804,1695.659273697172,3,1,0,0,0,0,2,0,6,0,0,0,0,20,280,0.8389046320067064,0.8915902527452008,34.40483169095852
53,1695.659273697172,34.15782355717738,1729.8170972543494,0,0,0,0,1,0,4,1,6,0,0,0,0,0,270,0.9285815993474075,0.9037110452435372,32.39784127647074
54,1729.8170972543494,31.28672981818886,1761.1038270725383,1,0,0,0,0,0,2,3,6,0,0,0,0,50,260,0.8192551542266411,1.10010610193409,31.220976440424366
55,1761.1038270725383,31.04031495621939,1792.1441420287576,1,0,0,0,0,0,4,0,5,0,0,0,0,0,250,0.9520642745593463,1.0865113347821478,28.270476580100176
56,1792.1441420287576,35.64665039283295,1827.7907924215906,0,0,0,4,0,0,1,1,6,0,0,0,0,20,280,0.8045533211000878,0.8980953996226835,39.73394551746588
57,1827.7907924215906,34.76883445578255,1862.5596268773731,1,0,0,2,0,0,3,0,6,0,0,0,0,20,280,1.0752000350582125,0.9056529308843341,35.97280711191018
58,1862.5596268773731,31.679004221968626,1894.2386310993418,0,0,0,0,0,0,2,4,6,0,0,0,0,20,260,1.0110327969115371,0.9464465655124528,11.089456186108443
59,1894.2386310993418,32.47092263065497,1926.7095537299967,0,0,0,0,0,0,4,2,6,0,0,0,0,50,260,0.9536049952708002,1.1012029036084194,39.105954234321175
60,1926.7095537299967,32.40417279275857,1959.1137265227553,2,0,0,0,0,0,3,0,5,0,0,0,0,0,270,0.8695399703192733,0.9818119199385567,28.81719921795927
61,1959.1137265227553,31.0,1990.1137265227553,1,0,0,0,0,0,2,1,4,0,0,0,0,0,260,1.1873677464543757,1.1815848089050647,10.28813039882907
62,1990.1137265227553,35.26024729823712,2025.3739738209924,1,0,0,3,0,0,2,0,6,0,0,0,0,20,280,1.1088801578299408,0.8731126405494256,35.47526382958627
63,2025.3739738209924,34.06245739367205,2059.4364312146645,1,0,0,2,0,0,3,0,6,0,0,0,0,50,250,0.9118985355022395,0.9481995816875324,35.97942386423969
64,2059.4364312146645,31.0,2090.4364312146645,1,0,0,0,0,0,4,1,6,0,0,0,0,0,250,1.1501268697421239,1.0632291946105479,24.807525906981773
65,2090.4364312146645,31.0,2121.4364312146645,0,0,0,0,0,0,3,3,6,0,0,0,0,0,250,0.9018820711094433,1.0430442060961096,10.947429865474415
66,2121.4364312146645,32.601224243197976,2154.0376554578625,3,0,0,2,0,0,1,0,6,0,0,0,0,20,280,0.999968072953912,0.9157297514134121,23.653504822700768
67,2154.0376554578625,36.34197878846953,2190.379634246332,3,0,0,0,0,0,1,2,6,0,0,0,0,50,250,0.8425079538792913,0.8390367125602595,37.52892961011768
68,2190.379634246332,33.97993377026705,2224.359568016599,2,0,0,1,0,0,2,1,6,0,0,0,0,50,250,0.8083496403083656,0.9373825421312392,34.54165226155179
69,2224.359568016599,31.0,2255.359568016599,1,0,0,2,0,0,1,2,6,0,0,0,0,20,250,0.8475813575541535,1.1216338478813817,29.319243636035804
70,2255.359568016599,32.14898317227244,2287.5085511888715,2,0,0,1,0,0,3,0,6,0,0,0,0,50,270,1.1196797375017151,0.9126180969874946,18.845980652393592
71,2287.5085511888715,31.86705493109548,2319.375606119967,0,0,0,0,0,0,4,2,6,0,0,0,0,20,250,0.9976759495979053,1.1362434995020176,37.9212602850995
72,2319.375606119967,32.530270732911504,2351.9058768528785,3,0,0,0,0,0,3,0,6,0,0,0,0,0,280,0.943792476862267,0.9186029165084714,23.451186858515822
73,2351.9058768528785,34.29354956307088,2386.1994264159493,1,0,0,1,0,0,3,1,6,0,0,0,0,50,260,0.8685701495221021,0.8597790647221174,28.738818888483188
74,2386.1994264159493,33.87161660638503,2420.0710430223344,0,0,0,1,0,0,3,2,6,0,0,0,0,50,270,1.0210055992347173,0.8867363003659415,29.002685057059207
75,2420.0710430223344,33.22269043887354,2453.293733461208,0,0,1,3,0,0,1,1,6,0,0,0,0,0,270,0.8786463889725218,0.843722223412906,16.255959026391963
76,2453.293733461208,33.07712489651021,2486.370858357718,1,0,0,2,0,0,3,0,6,0,0,0,0,20,250,1.0773940919973306,1.0126515250081525,35.820321809804014
77,2486.370858357718,31.224752669703776,2517.595611027422,0,0,0,1,0,0,3,1,5,0,0,0,0,50,250,0.9255901979058012,0.9816149515842008,19.959330833293727
78,2517.595611027422,32.93377324224457,2550.5293842696665,1,0,0,1,0,0,4,0,6,0,0,0,0,20,270,1.1076203540797174,0.8662692273191835,20.58323656339365
79,2550.5293842696665,33.047227757982455,2583.576612027649,2,0,0,0,0,0,4,0,6,0,0,0,0,50,270,1.0106090333893254,0.98231319620099,33.03577245334765
80,2583.576612027649,31.0,2614.576612027649,0,0,0,0,1,0,3,2,6,0,0,0,0,50,270,0.8500731941433067,1.0901156562393637,24.855606924517506
81,2614.576612027649,31.87980172470907,2646.456413752358,1,0,0,0,0,0,3,1,5,0,0,0,0,50,260,0.8735324140388605,1.00588346282138,27.375814836605624
82,2646.456413752358,31.743512745777025,2678.199926498135,0,0,0,0,0,0,1,4,5,0,0,0,0,50,260,0.9902459738330645,0.9439264164226105,20.240572509314276
83,2678.199926498135,31.0,2709.199926498135,2,0,0,2,0,0,2,0,6,0,0,0,0,50,280,0.9037093098924787,1.100823754779295,11.579547592337214
84,2709.199926498135,31.0,2740.199926498135,2,0,0,0,0,0,3,1,6,0,0,0,0,50,280,0.9710202813999231,1.0804171413669232,10.437532375280725
85,2740.199926498135,32.98085414592197,2773.180780644057,2,0,0,1,1,0,2,0,6,0,0,0,0,20,280,1.0770487183450237,0.8583166575341277,14.699554667237555
86,2773.180780644057,32.06325237197643,2805.2440330160334,2,0,0,0,2,0,1,1,6,0,0,0,0,50,270,0.9368169810188977,0.9208893651838197,20.247802613751215
87,2805.2440330160334,33.168568451741976,2838.4126014677754,1,0,0,2,0,0,2,1,6,0,0,0,0,0,280,1.0364652531022132,1.011683316078401,36.28357282738631
88,2838.4126014677754,31.31764867535321,2869.7302501431286,2,0,0,0,0,0,4,0,6,0,0,0,0,20,250,1.119685592802076,1.117276783873772,32.80478386441963
89,2869.7302501431286,31.0,2900.7302501431286,0,0,0,1,1,0,2,2,6,0,0,0,0,20,270,1.134414387235143,1.1357555544366065,25.431118523393938
90,2900.7302501431286,36.2949008522387,2937.0251509953673,1,0,0,2,0,0,1,2,6,0,0,0,0,0,270,1.0867597752837366,0.8171356880521861,35.08801552836758
91,2937.0251509953673,31.0,2968.0251509953673,0,0,0,0,0,0,3,2,5,0,0,0,0,20,260,0.890208789971425,1.137350280310333,27.994038852263618
92,2968.0251509953673,34.11183624421437,3002.1369872395817,1,0,0,2,0,0,3,0,6,0,0,0,0,0,270,1.1757252916310703,0.8794248541444416,29.70467368297117
93,3002.1369872395817,31.0,3033.1369872395817,0,0,0,0,0,0,5,1,6,0,0,0,0,20,250,1.1649389586716936,1.0450072849566188,12.458214172799597
94,3033.1369872395817,31.568342591760484,3064.705329831342,0,0,0,1,0,0,3,1,5,0,0,0,0,20,280,0.8374776874732379,1.1730067588523172,38.60406408194045
95,3064.705329831342,35.80443295289069,3100.509762784233,0,0,0,4,1,0,0,1,6,0,0,0,0,0,270,0.8543045444033446,0.8771879220860123,38.59243952896158
96,3100.509762784233,31.260324311959266,3131.770087096192,0,0,0,1,0,0,3,2,6,0,0,0,0,20,250,1.1249488113164503,1.0455708390494196,26.389228309049084
97,3131.770087096192,31.626788828008102,3163.3968759242002,2,0,0,1,0,0,3,0,6,0,0,0,0,0,250,0.871262658995899,0.9503603935612082,17.805794180489343
98,3163.3968759242002,31.281124160016134,3194.6780000842164,3,0,0,1,0,0,2,0,6,0,0,0,0,20,250,1.0073340051204376,1.0998137252113955,31.15684172647398
99,3194.6780000842164,33.80078992255267,3228.478790006769,2,0,0,1,0,0,2,1,6,0,0,0,0,0,250,0.8498852883442461,0.8832346255087916,28.2047381090768
100,3228.478790006769,32.80445150737614,3261.283241514145,1,0,0,0,0,1,2,2,6,0,0,0,0,20,260,1.1061602763441964,0.8692848095839173,16.277052039175683
101,3261.283241514145,31.444597318648903,3292.727838832794,0,0,0,1,0,0,3,2,6,0,0,0,0,20,260,1.0894087046673413,1.1040500126317552,32.660309080404986
102,3292.727838832794,32.226433031860324,3324.9542718646544,0,0,0,0,0,0,3,3,6,0,0,0,0,50,260,0.8353577568673598,1.011314734193259,30.2876622025563
103,3324.9542718646544,31.0,3355.9542718646544,2,0,0,0,0,0,3,1,6,0,0,0,0,50,260,0.9496417475547791,1.0670246286552663,12.585133139982272
104,3355.9542718646544,31.0,3386.9542718646544,2,0,0,1,1,0,1,1,6,0,0,0,0,0,280,0.9504836499110942,1.0525883759248946,15.11693257522695
105,3386.9542718646544,31.95935461804811,3418.9136264827025,1,0,0,1,0,0,4,0,6,0,0,0,0,50,280,1.1595249460543582,0.9499694168944293,22.526121261945534
106,3418.9136264827025,31.47231217036233,3450.385938653065,0,0,0,0,0,0,5,1,6,0,0,0,0,50,270,1.178294456568794,0.9621311458604526,19.248902120156316
107,3450.385938653065,31.0,3481.385938653065,2,0,0,0,0,0,4,0,6,0,0,0,0,20,250,1.0138287158725618,1.1878228905257564,13.490877381619596
108,3481.385938653065,31.0,3512.385938653065,1,0,0,0,0,0,5,0,6,0,0,0,0,0,280,1.1492202420007418,1.0744584446437018,13.084813440653136
109,3512.385938653065,32.15028121405885,3544.5362198671237,2,0,0,0,0,0,4,0,6,0,0,0,0,20,280,1.0136758763984424,1.0990570515978537,36.97173384329592
110,3544.5362198671237,31.479310564013304,3576.015530431137,1,0,0,0,0,0,3,1,5,0,0,0,0,0,260,1.033235553215969,1.055140022756735,28.86597396923488
111,3576.015530431137,31.902857776658948,3607.918388207796,1,0,0,0,0,0,3,2,6,0,0,0,0,0,270,0.8945827841705637,0.9300265265039129,13.36698988486039
112,3607.918388207796,35.328142336659766,3643.2465305444557,0,0,0,1,0,0,5,0,6,0,0,0,0,50,270,1.1830886508502592,0.9103123400145885,39.266452069430315
113,3643.2465305444557,33.68461110374392,3676.9311416481996,3,0,0,1,0,0,1,1,6,0,0,0,0,50,280,1.1686912084925043,0.9274439834819055,31.88880155132041
114,3676.9311416481996,31.2453933271363,3708.176534975336,0,0,0,0,1,0,2,3,6,0,0,0,0,0,250,0.8978502882976269,1.0366733768944927,25.470674033226498
115,3708.176534975336,31.0,3739.176534975336,0,0,0,1,0,0,5,0,6,0,0,0,0,0,280,0.9980927484070341,1.175152359755961,16.669333364783796
116,3739.176534975336,33.43133570296504,3772.607870678301,1,0,0,2,0,0,3,0,6,0,0,0,0,0,250,0.916453592347846,0.8315238621698969,14.574706932498389
117,3772.607870678301,32.8826843108468,3805.4905549891478,0,0,0,2,0,0,4,0,6,0,0,0,0,0,280,0.921554007665669,0.9465329144817999,28.67870164163152
118,3805.4905549891478,35.38827195565136,3840.878826944799,2,0,0,1,0,0,1,2,6,0,0,0,0,50,280,0.9380305609901205,0.858769684374762,34.73488563880029
119,3840.878826944799,33.79538692207734,3874.6742138668765,0,0,0,0,0,0,3,3,6,0,0,0,0,20,260,0.8794360932867318,0.8375999132139219,23.168135281977342
120,3874.6742138668765,33.5645917697434,3908.23880563662,2,0,0,1,0,0,3,0,6,0,0,0,0,20,250,0.9910374761172932,0.9261671944865182,31.040253673020484
121,3908.23880563662,34.0945039905414,3942.3333096271613,1,0,0,1,0,0,1,2,5,0,0,0,0,0,260,1.1362375795002508,0.8061967528677583,21.389910066676002
122,3942.3333096271613,31.0,3973.3333096271613,1,0,0,1,0,0,3,1,6,0,0,0,0,0,260,0.8958608489410282,1.0911444385011624,14.834754917763831
123,3973.3333096271613,31.94848300922422,4005.2817926363855,2,0,0,2,0,0,1,0,5,0,0,0,0,20,250,1.0955825655902873,1.1402850509018707,38.726507259678215
124,4005.2817926363855,32.78285187168376,4038.0646445080693,0,0,0,3,1,0,2,0,6,0,0,0,0,50,270,0.8247287493547062,0.9565521873900831,28.98070062245233
125,4038.0646445080693,31.257408299241888,4069.322052807311,1,0,0,1,0,0,2,2,6,0,0,0,0,20,250,1.0656056790116144,1.137762901627589,33.953972634507274
126,4069.322052807311,34.04074919676577,4103.362802004077,1,0,0,0,0,0,4,1,6,0,0,0,0,50,250,0.9898633390088125,0.9608319450326583,36.96439719510009
127,4103.362802004077,34.81883760908386,4138.181639613161,0,0,0,1,2,0,2,0,5,0,0,0,0,20,260,0.8286694939672941,0.9370627653441979,39.04605880383188
128,4138.181639613161,36.300825801367864,4174.482465414529,3,0,0,0,0,0,2,1,6,0,0,0,0,50,270,0.8422282526814413,0.846797211848215,38.0903644985268
129,4174.482465414529,33.36969742312431,4207.852162837653,2,0,0,0,0,0,4,0,6,0,0,0,0,20,280,1.034276427909525,0.9553653737911907,32.5893950527319
130,4207.852162837653,31.72661539667115,4239.578778234324,2,0,0,0,0,0,3,1,6,0,0,0,0,50,280,0.9053786605565635,0.9960925977784134,25.3395393561398
131,4239.578778234324,34.13012586781133,4273.708904102135,2,0,0,2,0,0,1,1,6,0,0,0,0,20,280,0.9822329986740019,0.8697594890481416,28.811613875563776
132,4273.708904102135,35.46359816295717,4309.172502265093,1,0,0,1,0,0,3,1,6,0,0,0,0,20,270,0.9128536175173859,0.8898277331502472,38.0874301386504
133,4309.172502265093,31.44077044808546,4340.613272713178,1,0,0,1,0,0,2,2,6,0,0,0,0,20,250,1.0201092814352257,1.1381918215216935,35.254136607173024
134,4340.613272713178,33.6941684758076,4374.307441188986,2,0,0,3,0,0,1,0,6,0,0,0,0,50,280,0.8505412446204694,0.9971551454175964,38.101962215491824
135,4374.307441188986,32.872022863016355,4407.179464052002,4,0,0,0,0,0,1,1,6,0,0,0,0,20,270,1.1148631714156334,0.9981330543735398,33.333149964493735
136,4407.179464052002,33.315393206471526,4440.4948572584735,0,0,0,1,1,0,2,1,5,0,0,0,0,0,260,0.91366378137022,0.9712656930395773,33.694213284707814
137,4440.4948572584735,31.928647120363166,4472.423504378837,3,0,0,0,0,0,3,0,6,0,0,0,0,20,280,1.1098559438797306,0.9281713614953283,15.092530453487564
138,4472.423504378837,32.16707308521927,4504.590577464056,2,0,0,0,1,0,0,2,5,0,0,0,0,0,280,1.0515754185261166,0.9672768569249388,25.78041154956915
139,4504.590577464056,31.0,4535.590577464056,0,0,0,2,0,0,3,1,6,0,0,0,0,50,280,1.1757250180691898,1.0212923616158098,16.617391329988486
140,4535.590577464056,32.59187035064315,4568.182447814699,1,0,0,1,0,0,4,0,6,0,0,0,0,0,250,0.8932972248172225,0.9323376408768421,25.304617062135435
141,4568.182447814699,34.356457234924164,4602.538905049623,1,0,0,1,0,1,3,0,6,0,0,0,0,20,270,1.1773843990355857,0.8970278154899433,32.88673300567043
142,4602.538905049623,31.0,4633.538905049623,2,0,0,1,0,0,1,2,6,0,0,0,0,0,260,1.1688957878584314,1.15043943903529,16.374741800017958
143,4633.538905049623,31.0,4664.538905049623,4,0,0,1,0,0,1,0,6,0,0,0,0,50,280,1.1423820650631396,1.0038699776383226,15.938454462844806
144,4664.538905049623,34.01763020902308,4698.556535258646,1,0,0,2,1,0,0,2,6,0,0,0,0,0,260,1.1656289539355416,0.9522885198221687,36.09046949445378
145,4698.556535258646,31.0,4729.556535258646,1,0,0,0,0,0,3,2,6,0,0,0,0,0,250,1.0640695247096104,1.0799091733020492,27.264602772986507
146,4729.556535258646,33.02993911382964,4762.586474372476,0,0,0,1,0,0,2,3,6,0,0,0,0,50,260,1.1644827195475391,0.8553137617091655,12.720496020639477
147,4762.586474372476,36.17432925747016,4798.760803629946,1,0,0,3,1,0,1,0,6,0,0,0,0,20,280,1.1181227574668673,0.8321304574779342,36.03272811942699
148,4798.760803629946,31.0,4829.760803629946,0,0,0,0,1,0,1,4,6,0,0,0,0,50,260,0.9309942293265919,1.1869805865384637,28.683054781642067
149,4829.760803629946,31.60990479116117,4861.370708421107,2,0,0,1,1,0,2,0,6,0,0,0,0,50,280,1.1000087260781495,1.0543321808782853,29.74069688537555
150,4861.370708421107,32.931222550622806,4894.30193097173,0,0,0,2,0,0,3,1,6,0,0,0,0,0,270,0.9620909110742493,0.86137451012609,14.078858770728406
151,4894.30193097173,34.92806789329006,4929.22999886502,1,0,0,2,0,0,0,1,4,0,0,0,0,20,260,1.1562648801115816,0.8723273094879418,33.63482071039845
152,4929.22999886502,31.0,4960.22999886502,2,0,0,0,0,0,2,1,5,0,0,0,0,0,260,0.9762084942937989,1.1840524666587535,23.408750077085756
153,4960.22999886502,31.0,4991.22999886502,0,0,0,2,1,0,2,1,6,0,0,0,0,0,250,0.8191165457722527,1.1478214391483037,18.462307909670706
154,4991.22999886502,35.98921302454983,5027.21921188957,0,0,0,1,2,0,2,1,6,0,0,0,0,20,260,1.1019477073003743,0.8247733539193794,34.36064998143941
155,5027.21921188957,31.0,5058.21921188957,2,0,0,0,1,0,1,1,5,0,0,0,0,0,250,1.0104329617470398,1.0598509096975741,22.590317061407646
156,5058.21921188957,34.41348252773514,5092.632694417305,3,0,0,1,0,0,2,0,6,0,0,0,0,20,280,0.8130269305981503,0.8063853822525335,23.45321306477104
157,5092.632694417305,33.802396126729946,5126.435090544035,0,0,0,0,0,0,4,2,6,0,0,0,0,0,260,1.0795254107182062,0.8784579555627936,27.71561048680937
158,5126.435090544035,31.6039085561697,5158.038999100205,3,0,0,0,0,0,2,1,6,0,0,0,0,0,250,0.9273073284580728,0.9520856126908029,18.679613084804284
159,5158.038999100205,31.0,5189.038999100205,4,0,0,1,0,0,0,1,6,0,0,0,0,50,280,0.8097258874074179,1.1519138627581933,17.800084403894694
160,5189.038999100205,31.0,5220.038999100205,4,0,0,1,0,0,1,0,6,0,0,0,0,50,270,0.9478020689136281,1.1308742636919182,31.348171091658735
161,5220.038999100205,31.0,5251.038999100205,0,0,0,0,0,0,5,1,6,0,0,0,0,0,250,1.0596461738202827,1.1466418432061478,20.544063259473056
162,5251.038999100205,33.71890813313348,5284.757907233338,4,0,0,1,0,0,1,0,6,0,0,0,0,20,280,0.8009464494987832,0.8872947066224434,28.116451156881794
163,5284.757907233338,31.0,5315.757907233338,1,0,0,1,0,0,4,0,6,0,0,0,0,50,250,1.15685728758497,1.0710064127938186,10.718045725661579
164,5315.757907233338,33.87766304143315,5349.635570274771,0,0,0,0,0,0,6,0,6,0,0,0,0,0,270,0.8349508359960537,0.9556277538798074,35.597021360394415
165,5349.635570274771,32.951936075887716,5382.587506350659,0,0,0,4,1,0,1,0,6,0,0,0,0,20,280,1.0569581815828162,0.8600956838340571,14.154695245534702
166,5382.587506350659,33.50283622068309,5416.090342571342,2,0,0,2,0,0,2,0,6,0,0,0,0,0,250,1.1295100652970513,0.8274243615111647,13.747891138812626
